,precision,recall,f1-score,support
biological,0.6904761904761905,0.5523809523809524,0.6137566137566137,105.0
cardboard,0.680952380952381,0.6745283018867925,0.6777251184834123,212.0
glass,0.583011583011583,0.578544061302682,0.5807692307692308,261.0
metal,0.37058823529411766,0.45323741007194246,0.4077669902912621,139.0
paper,0.4129353233830846,0.415,0.4139650872817955,200.0
plastic,0.5836909871244635,0.5666666666666667,0.5750528541226215,240.0
accuracy,0.5479688850475367,0.5479688850475367,0.5479688850475367,0.5479688850475367
macro avg,0.5536091167069701,0.5400595653848393,0.544839315784156,1157.0
weighted avg,0.5559313692483132,0.5479688850475367,0.5507245055228789,1157.0
