,precision,recall,f1-score,support
biological,0.711340206185567,0.6571428571428571,0.6831683168316832,105.0
cardboard,0.7393364928909952,0.7358490566037735,0.7375886524822695,212.0
glass,0.6318681318681318,0.44061302681992337,0.5191873589164786,261.0
metal,0.391304347826087,0.45323741007194246,0.42,139.0
paper,0.46037735849056605,0.61,0.524731182795699,200.0
plastic,0.5394190871369294,0.5416666666666666,0.5405405405405406,240.0
accuracy,0.5661192739844425,0.5661192739844425,0.5661192739844425,0.5661192739844425
macro avg,0.5789409373997126,0.5730848362175271,0.5708693419277785,1157.0
weighted avg,0.5810501275010893,0.5661192739844425,0.5675586296971808,1157.0
