kelas,jumlah_gambar,rata_width,rata_height,rata_aspect_ratio,rata_brightness,rata_contrast,rata_sharpness,rata_R,rata_G,rata_B
biological,699,270.94849785407723,197.72961373390558,1.4177400175843757,134.05695208105652,65.87097362203524,2766.3271896231945,160.3676596071692,136.19465673877158,105.6085398972288
cardboard,1411,476.6151665485471,463.9574769666903,1.1285069593500878,172.83398968762413,58.56754387670163,1857.651467071738,186.33811502644778,174.2808569519236,157.88299708450094
glass,1736,419.89573732718895,431.963133640553,1.0317252554351248,167.34941406233798,55.39399299270946,1631.1123021243716,173.3307882331092,169.99826541181767,158.71918854208715
metal,930,467.76559139784945,382.0698924731183,1.2653870753999683,160.12851968738119,57.37999552503083,2112.6301054192977,166.7602992221489,159.42298785521862,154.202271984776
paper,1336,573.3390718562874,464.00374251497004,1.2864569910850838,155.0725169310961,52.105779150108056,2248.1379317272217,164.76450984327113,155.5073510522794,144.94568989773774
plastic,1597,613.7482780212899,643.0169067000626,1.0810724219868002,153.9449528937299,47.49102433350249,1248.8982897934359,154.6076706260446,154.66752064414473,152.55966741100033
