,precision,recall,f1-score,support
biological,0.9619047619047619,0.9619047619047619,0.9619047619047619,105.0
cardboard,0.9371980676328503,0.9150943396226415,0.9260143198090692,212.0
glass,0.8953488372093024,0.8850574712643678,0.8901734104046243,261.0
metal,0.8840579710144928,0.8776978417266187,0.8808664259927798,139.0
paper,0.8685446009389671,0.925,0.8958837772397095,200.0
plastic,0.8686440677966102,0.8541666666666666,0.8613445378151261,240.0
accuracy,0.8971477960242005,0.8971477960242005,0.8971477960242005,0.8971477960242005
macro avg,0.902616384416164,0.9031535135308428,0.902697872194345,1157.0
weighted avg,0.897527736629029,0.8971477960242005,0.8971393030697478,1157.0
