,precision,recall,f1-score,support
biological,0.9622641509433962,0.9714285714285714,0.966824644549763,105.0
cardboard,0.9533678756476683,0.8679245283018868,0.908641975308642,212.0
glass,0.9196787148594378,0.8773946360153256,0.8980392156862745,261.0
metal,0.8680555555555556,0.8992805755395683,0.8833922261484098,139.0
paper,0.8644859813084113,0.925,0.893719806763285,200.0
plastic,0.8565737051792829,0.8958333333333334,0.8757637474541752,240.0
accuracy,0.898876404494382,0.898876404494382,0.898876404494382,0.898876404494382
macro avg,0.9040709972489588,0.9061436074364475,0.9043969359850915,1157.0
weighted avg,0.9008837318855728,0.898876404494382,0.8990974087411953,1157.0
