accuracy,precision_macro,recall_macro,f1_macro,model,scenario,phase
0.8833,0.8889,0.8948,0.8907,MobileNetV2,original,head
0.8894,0.8956,0.8957,0.8955,MobileNetV2,original,finetune
0.8721,0.8796,0.8802,0.8792,MobileNetV2,clahe,head
0.879,0.8872,0.8876,0.8865,MobileNetV2,clahe,finetune
0.8712,0.879,0.8782,0.8779,MobileNetV2,clahe_gaussian,head
0.8755,0.8815,0.8828,0.8818,MobileNetV2,clahe_gaussian,finetune
0.796,0.796,0.8069,0.7963,MobileNetV2,grabcut_original,head
0.8021,0.7957,0.812,0.7994,MobileNetV2,grabcut_original,finetune
